sample	population
PHIS2012ITA0011M_I289	spanish
PITAITA0000_I343	italian_mainland
PITAITA0000_I351	italian_mainland
PIAG2011CPV0001M_IAG01	iago
PIAG2011CPV0002M_IAG02	iago
PITAITA0000_K006	italian_island
PITAITA0000_K010	italian_island
PITAITA0000_K011	italian_island
PITAITA0000_K015	italian_island
PITAITA0000_K019	italian_island
PITAITA0000_K021	italian_island
PITAITA0000_K022	italian_island
PITAITA0000_K026	italian_island
PITAITA0000_K029	italian_island
PITAITA0000_K031	italian_island
PITAITA0000_K032	italian_island
PITAITA0000_K035	italian_island
PITAITA0000_K039	italian_island
PITAITA0000_K071	italian_island
PITAITA0000_K073	italian_island
PITAITA0000_K083	italian_island
PITAITA0000_K085	italian_island
PITAITA0000_K089	italian_island
PITAITA0000_K090	italian_island
PITAITA0000_K096	italian_island
PHIS2014KAZ0001M_KAZ14001	spanish
PHIS2014KAZ0002M_KAZ14003	spanish
PBAC2014KAZ0001M_KAZ14005	bactrianus
PBAC2014KAZ0002M_KAZ14011	bactrianus
PBAC2014KAZ0003M_KAZ14014	bactrianus
PBAC2014KAZ0004M_KAZ14016	bactrianus
PBAC2014KAZ0005M_KAZ14018	bactrianus
PBAC2014KAZ0006M_KAZ14019	bactrianus
PBAC2014KAZ0007M_KAZ14020	bactrianus
PBAC2014KAZ0008M_KAZ14021	bactrianus
PBAC2014KAZ0009M_KAZ14022	bactrianus
PBAC2014KAZ0010M_KAZ14026	bactrianus
PHIS2014KAZ0003M_KAZ14032	spanish
PHIS2014KAZ0004M_KAZ14035	spanish
PHIS2014KAZ0005M_KAZ14053	spanish
PHIS2014KAZ0006M_KAZ14054	spanish
PHIS2014KAZ0007M_KAZ14055	spanish
PHIS2014KAZ0008M_KAZ14057	spanish
PHIS2014KAZ0009M_KAZ14059	spanish
PHIS2014KAZ0010M_KAZ14061	spanish
PITAITA0000_LS123	italian_mainland
PITAITA0000_LS147	italian_mainland
PITAITA0000_LS160	italian_mainland
PITAITA0000_LS255	italian_mainland
PITAITA0000_LS277	italian_mainland
PITAITA0000_LS301	italian_mainland
PITAITA0000_LS34	italian_mainland
PITAITA0000_LS376	italian_mainland
PITAITA0000_LS397	italian_mainland
PITAITA0000_LS404	italian_mainland
PITAITA0000_LS417	italian_mainland
PITAITA0000_LS418	italian_mainland
PITAITA0000_LS419	italian_mainland
PITAITA0000_LS421	italian_mainland
PITAITA0000_LS450	italian_mainland
PITAITA0000_LS454	italian_mainland
PITAITA0000_LS458	italian_mainland
PITAITA0000_LS459	italian_mainland
PITAITA0000_LS474	italian_mainland
PITAITA0000_LS506	italian_mainland
PITAITA0000_LS54	italian_mainland
PITAITA0000_LS55	italian_mainland
PITAITA0000_LS584	italian_mainland
PITAITA0000_LS591	italian_mainland
PITAITA0000_LS592	italian_mainland
PITAITA0000_LS593	italian_mainland
PITAITA0000_LS60	italian_mainland
PITAITA0000_LS602	italian_mainland
PITAITA0000_LS603	italian_mainland
PITAITA0000_LS604	italian_mainland
PITAITA0000_LS619	italian_mainland
PITAITA0000_LS625	italian_mainland
PITAITA0000_LS655	italian_mainland
PITAITA0000_LS66	italian_mainland
PITAITA0000_LS723	italian_mainland
PITAITA0000_LS733	italian_mainland
PITAITA0000_LS734	italian_mainland
